id,question_url,exam_year
11,https://myschool.ng/classroom/mathematics/22035?exam_type=waec&exam_year=1988&type=obj&page=3,WAEC 1988
12,https://myschool.ng/classroom/mathematics/22040?exam_type=waec&exam_year=1988&type=obj&page=3,WAEC 1988
13,https://myschool.ng/classroom/mathematics/22043?exam_type=waec&exam_year=1988&type=obj&page=3,WAEC 1988
14,https://myschool.ng/classroom/mathematics/22046?exam_type=waec&exam_year=1988&type=obj&page=3,WAEC 1988
15,https://myschool.ng/classroom/mathematics/22048?exam_type=waec&exam_year=1988&type=obj&page=3,WAEC 1988
36,https://myschool.ng/classroom/mathematics/22226?exam_type=waec&exam_year=1988&type=obj&page=8,WAEC 1988
37,https://myschool.ng/classroom/mathematics/22227?exam_type=waec&exam_year=1988&type=obj&page=8,WAEC 1988
38,https://myschool.ng/classroom/mathematics/22228?exam_type=waec&exam_year=1988&type=obj&page=8,WAEC 1988
39,https://myschool.ng/classroom/mathematics/22229?exam_type=waec&exam_year=1988&type=obj&page=8,WAEC 1988
40,https://myschool.ng/classroom/mathematics/22230?exam_type=waec&exam_year=1988&type=obj&page=8,WAEC 1988
31,https://myschool.ng/classroom/mathematics/22185?exam_type=waec&exam_year=1988&type=obj&page=7,WAEC 1988
32,https://myschool.ng/classroom/mathematics/22192?exam_type=waec&exam_year=1988&type=obj&page=7,WAEC 1988
33,https://myschool.ng/classroom/mathematics/22196?exam_type=waec&exam_year=1988&type=obj&page=7,WAEC 1988
34,https://myschool.ng/classroom/mathematics/22199?exam_type=waec&exam_year=1988&type=obj&page=7,WAEC 1988
35,https://myschool.ng/classroom/mathematics/22208?exam_type=waec&exam_year=1988&type=obj&page=7,WAEC 1988
41,https://myschool.ng/classroom/mathematics/22231?exam_type=waec&exam_year=1988&type=obj&page=9,WAEC 1988
6,https://myschool.ng/classroom/mathematics/22020?exam_type=waec&exam_year=1988&type=obj&page=2,WAEC 1988
7,https://myschool.ng/classroom/mathematics/22021?exam_type=waec&exam_year=1988&type=obj&page=2,WAEC 1988
8,https://myschool.ng/classroom/mathematics/22025?exam_type=waec&exam_year=1988&type=obj&page=2,WAEC 1988
9,https://myschool.ng/classroom/mathematics/22026?exam_type=waec&exam_year=1988&type=obj&page=2,WAEC 1988
10,https://myschool.ng/classroom/mathematics/22030?exam_type=waec&exam_year=1988&type=obj&page=2,WAEC 1988
26,https://myschool.ng/classroom/mathematics/22148?exam_type=waec&exam_year=1988&type=obj&page=6,WAEC 1988
27,https://myschool.ng/classroom/mathematics/22160?exam_type=waec&exam_year=1988&type=obj&page=6,WAEC 1988
28,https://myschool.ng/classroom/mathematics/22161?exam_type=waec&exam_year=1988&type=obj&page=6,WAEC 1988
29,https://myschool.ng/classroom/mathematics/22165?exam_type=waec&exam_year=1988&type=obj&page=6,WAEC 1988
30,https://myschool.ng/classroom/mathematics/22182?exam_type=waec&exam_year=1988&type=obj&page=6,WAEC 1988
16,https://myschool.ng/classroom/mathematics/22049?exam_type=waec&exam_year=1988&type=obj&page=4,WAEC 1988
17,https://myschool.ng/classroom/mathematics/22050?exam_type=waec&exam_year=1988&type=obj&page=4,WAEC 1988
18,https://myschool.ng/classroom/mathematics/22051?exam_type=waec&exam_year=1988&type=obj&page=4,WAEC 1988
19,https://myschool.ng/classroom/mathematics/22052?exam_type=waec&exam_year=1988&type=obj&page=4,WAEC 1988
